,caption,image_file,image_id
0,baumwolllager mit lkw,./data/resized_val_set/1018148011.jpg,1018148011
1,ein mädchen schläft auf dem sofa,./data/resized_val_set/1029450589.jpg,1029450589
2,ein kind hört musik auf den kopfhörern,./data/resized_val_set/1029737941.jpg,1029737941
3,zelten auf dem eis,./data/resized_val_set/103205630.jpg,103205630
4,ein mann fährt einsam auf einem see,./data/resized_val_set/10350842.jpg,10350842
5,eine frau freut sich und springt,./data/resized_val_set/1054620089.jpg,1054620089
6,ein schwarzer und ein brauner hund rennen auf steinigem boden aufeinander zu,./data/resized_val_set/1056873310.jpg,1056873310
7,ein kind beim baseball beim schlag,./data/resized_val_set/1072439304.jpg,1072439304
8,ein mann der zwischen bergen aus büchern sitzt und dabei telefoniert,./data/resized_val_set/1073444492.jpg,1073444492
9,frau mit fahrrad auf einer wiese,./data/resized_val_set/1092437557.jpg,1092437557
10,eine junge steht auf einem felsen,./data/resized_val_set/109671650.jpg,109671650
11,ein snowboarder bei einem sprung vor tannenbäumen,./data/resized_val_set/109738763.jpg,109738763
12,eine frau und drei kinder entsorgen müll,./data/resized_val_set/109982467.jpg,109982467
13,menschen in der bunten ladenpassage,./data/resized_val_set/110269384.jpg,110269384
14,eine weibliche person spielt auf einem instrument,./data/resized_val_set/1107507919.jpg,1107507919
15,ein quad und zwei motorräder fahren auf einer offroadbahn,./data/resized_val_set/112243673.jpg,112243673
16,sich ausruhender mann auf der liege,./data/resized_val_set/1124448967.jpg,1124448967
17,eine gruppe menschen machen party auf der straße,./data/resized_val_set/1126137905.jpg,1126137905
18,traditionell bekleidete frau sitzt in einer hütte vor gewebten stoffen,./data/resized_val_set/1128874064.jpg,1128874064
19,ein paar jugendliche trinken alkohol auf der straße,./data/resized_val_set/1130017585.jpg,1130017585
20,die leute trinken im kneipe,./data/resized_val_set/1141643526.jpg,1141643526
21,ein pärchen auf einer hängebrücke,./data/resized_val_set/1141718391.jpg,1141718391
22,mann jongliert kurzschwerter,./data/resized_val_set/1150429218.jpg,1150429218
23,junge frau biete auf tablett tee an,./data/resized_val_set/1155138244.jpg,1155138244
24,zwei männer stehen auf einem transporter,./data/resized_val_set/116569042.jpg,116569042
25,hunde beim spielen auf einer wiese,./data/resized_val_set/1206506157.jpg,1206506157
26,kin mit baby im zimmer,./data/resized_val_set/120764850.jpg,120764850
27,drei männer gehen auf einer straße wobei man nur den rüken sieht,./data/resized_val_set/121556607.jpg,121556607
28,ein grüner fallschirm wird hinter einem boot hergezogen,./data/resized_val_set/1215804065.jpg,1215804065
29,ein bagger arbeitet auf einer schräge,./data/resized_val_set/123244147.jpg,123244147
30,ein junges mädchen beim laufen,./data/resized_val_set/1235099089.jpg,1235099089
31,rote farbe läuft eine straße entlang udn jemand geht daran vorbei,./data/resized_val_set/123866385.jpg,123866385
32,das ist ein junge der turnt,./data/resized_val_set/126042604.jpg,126042604
33,eine person im roten pulli liegt an einer stange damit es so aussieht als läge sie auf der mauer,./data/resized_val_set/1277949368.jpg,1277949368
34,ein junge versucht seinen vater zu entkommen inmitten eines schauplatzes während im kreis menschen zusehen,./data/resized_val_set/128452798.jpg,128452798
35,menschen in einer bar,./data/resized_val_set/1296770308.jpg,1296770308
36,viele menschen zwischen asiatischen gebäuden,./data/resized_val_set/1306755031.jpg,1306755031
37,das ist ein mann der eine zeitung liest,./data/resized_val_set/1335877186.jpg,1335877186
38,ein hund auf dem rasen trinkt aus einem wasserstrahl,./data/resized_val_set/1341787777.jpg,1341787777
39,fröhlicher junge vor kinderzelt,./data/resized_val_set/1343426964.jpg,1343426964
40,kleines kind fegt mit großem besen,./data/resized_val_set/134642833.jpg,134642833
41,ein mann wirft beim kegeln eine grüne kugel,./data/resized_val_set/1348517311.jpg,1348517311
42,eine band tritt auf einer bühne auf,./data/resized_val_set/134857559.jpg,134857559
43,der alte mann geht mit seinem hund am strand spazieren,./data/resized_val_set/1348947380.jpg,1348947380
44,oldtimer im rennen,./data/resized_val_set/1355945307.jpg,1355945307
45,eine gruppe von kindern tanzt auf einer bühne,./data/resized_val_set/135608578.jpg,135608578
46,das ist ein kleiner junge der einen grossen stein in das wasser wirft,./data/resized_val_set/1358398144.jpg,1358398144
47,zwei frauen in der küche,./data/resized_val_set/135980645.jpg,135980645
48,ein chinesischer schrein und davor tanzt ein drache,./data/resized_val_set/1361790462.jpg,1361790462
49,ein schwarzer hund trägt ein weißes tuch vor sich her in einer pfütze,./data/resized_val_set/1363843090.jpg,1363843090
50,drei hunde beschnüffeln sich gegenseitig,./data/resized_val_set/1368338041.jpg,1368338041
51,zwei männer fahren in einem kajak auf einem fluß im wald,./data/resized_val_set/136886677.jpg,136886677
52,zwei frauen im gruftie stil laufen eine straße entlang,./data/resized_val_set/1389264266.jpg,1389264266
53,in einem kleinen bus sitzen vier mädchen nebeneinander und schauen gemeinsam in ein rosa heft,./data/resized_val_set/1393205795.jpg,1393205795
54,eine gruppe von menschen am strand schaut zum himmel und sieht ein herz,./data/resized_val_set/1394319096.jpg,1394319096
55,ein frau liest ein buch in der öffentlichkeit,./data/resized_val_set/1405665934.jpg,1405665934
56,ein dicker mann mit einem flammen muster hemd nimmt sich gerade besteck,./data/resized_val_set/1409723496.jpg,1409723496
57,der mann mit brille schaut verdutzt,./data/resized_val_set/1410039760.jpg,1410039760
58,surfer auf einer welle,./data/resized_val_set/141126420.jpg,141126420
59,eine frau packt tickets in ihre tasche,./data/resized_val_set/141186473.jpg,141186473
60,vier asiatische frauen sitzt zusammen auf dem boden und lachen,./data/resized_val_set/1432734769.jpg,1432734769
61,ein kunstflieger mit einer roten abgaswolke fliegt neben einem gebäude mit einem turm,./data/resized_val_set/1436832881.jpg,1436832881
62,ein junger mann mit schutzhelm klettert eine felswand herauf,./data/resized_val_set/143688283.jpg,143688283
63,zwei arbeiter die mit einem bagger einen kleinen lkw beladen,./data/resized_val_set/143793054.jpg,143793054
64,weisser jeep mit ladewagen voll mit wasserflaschen steht mitten auf der strasse,./data/resized_val_set/1438769690.jpg,1438769690
65,fröhliche frau mit hut springt oder tanzt auf einer wiese,./data/resized_val_set/144328407.jpg,144328407
66,man sieht nur einen teil eines komplett in gold getauchten mannes mit seinem ebenfalls goldenen fahrrad mitten auf einer straße stehen,./data/resized_val_set/1463864223.jpg,1463864223
67,ein baby guckt auf einen kleinen ast,./data/resized_val_set/146758244.jpg,146758244
68,männer beim reinemachen vor einem aufzug in einem bahnhof,./data/resized_val_set/14868339.jpg,14868339
69,zwei kinder sitzen mit wasserflaschen auf dem boden,./data/resized_val_set/149042906.jpg,149042906
70,viele menschen sind auf einer motorradausstellung,./data/resized_val_set/149231190.jpg,149231190
71,ein kletterer an einer steilen felswand,./data/resized_val_set/1496289999.jpg,1496289999
72,ein mann angelt und eine frau betrachtet den strand,./data/resized_val_set/1499495021.jpg,1499495021
73,ein junge springt in einem trampolin,./data/resized_val_set/1507563902.jpg,1507563902
74,mehrere kinder auf einem ketten karussell,./data/resized_val_set/155014252.jpg,155014252
75,drei buben spielen mit dem großen ball,./data/resized_val_set/1554086730.jpg,1554086730
76,zei soldaten trainieren in der einöde,./data/resized_val_set/156249400.jpg,156249400
77,eine cateringangestellte läuft mit einem essenswagen auf dem weg,./data/resized_val_set/1567005236.jpg,1567005236
78,ein poliszist fährt auf einem motorrad hinter einem auto,./data/resized_val_set/1581304802.jpg,1581304802
79,mann steht einsam am see,./data/resized_val_set/1588931550.jpg,1588931550
80,eine musikkapelle führt ihr stück auf einer grünen wiese und zuschauer auf,./data/resized_val_set/162839055.jpg,162839055
81,menschen auf der strasse,./data/resized_val_set/166774567.jpg,166774567
82,die feuerwehr löscht die brände,./data/resized_val_set/167001809.jpg,167001809
83,eine frau im lila tshirt zeichnet ein portrait,./data/resized_val_set/1680409989.jpg,1680409989
84,zwei kleine kinder spielen patient und doktor,./data/resized_val_set/1680674943.jpg,1680674943
85,zwei frau beim weben,./data/resized_val_set/1717077532.jpg,1717077532
86,eine frau in schwarz marschiert durch den gefallenen schnee,./data/resized_val_set/172892648.jpg,172892648
87,das sind drei männer die für fedex arbeiten,./data/resized_val_set/1732567333.jpg,1732567333
88,ein hund sitzt auf einer wiese,./data/resized_val_set/1745110280.jpg,1745110280
89,der hund läuft die rampe im parkour herunter,./data/resized_val_set/1752454466.jpg,1752454466
90,ein kleiner junge sitzt vor einem tisch,./data/resized_val_set/175369436.jpg,175369436
91,ein asiatischer handwerker arbeite mit einer maschine,./data/resized_val_set/1791491934.jpg,1791491934
92,eine mutter und ihr kind beobachten einen hahn in seinem käfig,./data/resized_val_set/180217379.jpg,180217379
93,ein kleines kind mit einerroten maske streckt sich um an einer tür zu klingeln,./data/resized_val_set/1814391289.jpg,1814391289
94,junger mann mit leuchtschwert,./data/resized_val_set/1836335410.jpg,1836335410
95,eine junge frau singt in ein mikrofon,./data/resized_val_set/1837976956.jpg,1837976956
96,zwei frauen graben in der erde,./data/resized_val_set/1877161207.jpg,1877161207
97,menschen liegen auf den weißen liegestühlen neben rießigen steinen und lassen sich sonnen,./data/resized_val_set/190965502.jpg,190965502
98,boote am ufer eines flüsses,./data/resized_val_set/194197375.jpg,194197375
99,ein junge trägt einen schwarzen sack,./data/resized_val_set/1944813674.jpg,1944813674
100,bärtiger mann beim kochen,./data/resized_val_set/2043372516.jpg,2043372516
101,zwei künstler beim auftritt mit klavier und bass,./data/resized_val_set/205675005.jpg,205675005
102,jugendliche beim tanzen im sonnenuntergang,./data/resized_val_set/2064780645.jpg,2064780645
103,ein hund apportiert einen stock,./data/resized_val_set/2066241589.jpg,2066241589
104,ein wanderer steht auf einem hügel während hinter ihm ein großer berg zusehen ist,./data/resized_val_set/2067833088.jpg,2067833088
105,sech jungen spielen in einem see,./data/resized_val_set/2068403258.jpg,2068403258
106,bei einer veranstaltung stehen eine lachende junge frau in einem ärmellosen top und ein junger mann mit einer portion bunter zuckerwatte nebeneinander,./data/resized_val_set/207015505.jpg,207015505
107,der junge im blauen pullover hebt die hand um seinen lehrerinnen eine antwort zu geben,./data/resized_val_set/2078709661.jpg,2078709661
