,caption,image_file,image_id
0,der mann trägt eine orange wollmütze,./data/test_set/1007129816.jpg,1007129816
1,ein hund läuft auf grünem rasen vor einem weißen zaun,./data/test_set/1009434119.jpg,1009434119
2,ein mann und eine frau machen tae kwon do,./data/test_set/101362133.jpg,101362133
3,die männer mit den helmen und schutzbrillen stehen beisammen im schnee vor den scheekettenfahrzeugen,./data/test_set/102617084.jpg,102617084
4,dachdecker bei der arbeit,./data/test_set/10287332.jpg,10287332
5,ein fotograf macht ein bild einer frau in hochzeitskleid und einigen männern,./data/test_set/1039637574.jpg,1039637574
6,eine gruppe von personen steht in einer winterlandschaft mit ihren schneeschuhen vor einen haus welches aus eisziegeln gebaut ist,./data/test_set/1043819504.jpg,1043819504
7,männer spielen baseball,./data/test_set/1043910339.jpg,1043910339
8,hält das gerüst,./data/test_set/1044798682.jpg,1044798682
9,ein mann mit gelber schutzweste der sitzt und darauf ezwas zu verkaufen,./data/test_set/1071201387.jpg,1071201387
10,die mutter trägt den bub an den schultern,./data/test_set/107969134.jpg,107969134
11,volleyball am strand,./data/test_set/1080230428.jpg,1080230428
12,eine frau in einer roten schürze hält eine schüssel in einem lokal,./data/test_set/1082250005.jpg,1082250005
13,ein mann schält etwas,./data/test_set/1089059626.jpg,1089059626
14,drei touristen ruhen sich bei einer tour durch eine höhle aus,./data/test_set/109260218.jpg,109260218
15,ein kleines mädchen das auf einem pfosten balanciert,./data/test_set/109656696.jpg,109656696
16,eine männliche und eine weibliche person sitzen beide mit sonnenbrille am sandstrand haben die beine im wasser und geben sich die hände,./data/test_set/1104087374.jpg,1104087374
17,eine gruppe menschen warten in einem geshcäft,./data/test_set/110671448.jpg,110671448
18,kletter im gebirge,./data/test_set/111497985.jpg,111497985
19,das ist eine einkaufszone mit menschen,./data/test_set/1131056918.jpg,1131056918
20,treffen vor einer kirche,./data/test_set/1144865997.jpg,1144865997
21,ein mädchen spielt trompete,./data/test_set/1153704539.jpg,1153704539
22,junger mann in einem braunen mantel springen auf blauen trampolin,./data/test_set/1159381599.jpg,1159381599
23,ein mann steht in einem lokal neben spielautomaten,./data/test_set/1167908324.jpg,1167908324
24,eine junge frau führt eine akkubohrmaschine vor einer gruppe männer im freien vor,./data/test_set/1181708011.jpg,1181708011
25,frau putzt den tisch,./data/test_set/118865844.jpg,118865844
26,ein mann schneidet äste von bäumen,./data/test_set/121178216.jpg,121178216
27,vier kinder die an einem griller stehen und dabei spaß haben,./data/test_set/12252043.jpg,12252043
28,indianisch angezogene personen tanzen,./data/test_set/1229536824.jpg,1229536824
29,der mann holt sich schlag gegen einen anderen aus,./data/test_set/123314995.jpg,123314995
30,eine gruppe fahrradfahrer die durch den wald fahren,./data/test_set/1250181412.jpg,1250181412
31,zwei frauen sitzen auf der leitplanke vor einem gut besuchten öffentlichen platz,./data/test_set/1253095131.jpg,1253095131
32,ein kind das im wasser planscht,./data/test_set/1255504166.jpg,1255504166
33,drei leute sitzen an einem beschirmten tisch vor einem restaurant,./data/test_set/1258913059.jpg,1258913059
34,drei jungen in badeshorts betrachten das wasser,./data/test_set/1281282435.jpg,1281282435
35,eine frau schaut die fischauslage eines verkäufers an,./data/test_set/1287704027.jpg,1287704027
36,die frau spielt harfe,./data/test_set/1295476404.jpg,1295476404
37,ein polizist mit hut und uniform lehnt sich auf ein eisernes geländer vor einem industriegebäude,./data/test_set/129860826.jpg,129860826
38,ein junges mädchen serviert eine pizza,./data/test_set/130063845.jpg,130063845
39,ein herr angelt enspannt am strassenrand,./data/test_set/1313869424.jpg,1313869424
40,ein kleines mädchen das mit einer schwimmweste im wasser liegt,./data/test_set/1313961775.jpg,1313961775
41,ein mann zeigt anderen mann in der uniform etwas,./data/test_set/133010954.jpg,133010954
42,personen fahren in einem zug,./data/test_set/1332208215.jpg,1332208215
43,ein mädchem beim schaukeln mit blick in den wald,./data/test_set/1333888922.jpg,1333888922
44,ein mann betritt einen laden während ein hund auf einer straße stehend den mann beobachtet,./data/test_set/1341077576.jpg,1341077576
45,zwei männer springen am strand,./data/test_set/1351500610.jpg,1351500610
46,schaffe ich die schüssel bis sie leer ist,./data/test_set/136581487.jpg,136581487
47,der vater pflanzt mit seine beiden kindern einen baum,./data/test_set/136693281.jpg,136693281
